location,sex,age,cause_id,year,val,last_update
Middle SDI,Female,80+ years,495,2002,143276.2667,12/31/2019
Middle SDI,Male,<5 years,496,2002,2782.645039,12/31/2019
Middle SDI,Female,<5 years,496,2002,1527.929384,12/31/2019
Middle SDI,Male,5-9 years,496,2002,686.9449701,12/31/2019
Middle SDI,Female,5-9 years,496,2002,419.8889667,12/31/2019
Middle SDI,Male,10-14 years,496,2002,774.1233386,12/31/2019
Middle SDI,Female,10-14 years,496,2002,542.2676169,12/31/2019
Middle SDI,Male,15-19 years,496,2002,1775.036685,12/31/2019
Middle SDI,Female,15-19 years,496,2002,1049.59508,12/31/2019
Middle SDI,Male,20-24 years,496,2002,2139.331278,12/31/2019
Middle SDI,Female,20-24 years,496,2002,1582.232402,12/31/2019
Middle SDI,Male,25-29 years,496,2002,3130.192702,12/31/2019
Middle SDI,Female,25-29 years,496,2002,2337.963316,12/31/2019
Middle SDI,Male,30-34 years,496,2002,6019.452073,12/31/2019
Middle SDI,Female,30-34 years,496,2002,3724.7643,12/31/2019
Middle SDI,Male,35-39 years,496,2002,10752.04561,12/31/2019
Middle SDI,Female,35-39 years,496,2002,6530.928503,12/31/2019
Middle SDI,Male,40-44 years,496,2002,15858.43689,12/31/2019
Middle SDI,Female,40-44 years,496,2002,9567.86173,12/31/2019
Middle SDI,Male,45-49 years,496,2002,25497.58769,12/31/2019
Middle SDI,Female,45-49 years,496,2002,17234.94828,12/31/2019
Middle SDI,Male,50-54 years,496,2002,36910.90683,12/31/2019
Middle SDI,Female,50-54 years,496,2002,25487.55608,12/31/2019
Middle SDI,Male,55-59 years,496,2002,44585.6206,12/31/2019
Middle SDI,Female,55-59 years,496,2002,28617.65842,12/31/2019
Middle SDI,Male,60-64 years,496,2002,57323.63959,12/31/2019
Middle SDI,Female,60-64 years,496,2002,40088.56374,12/31/2019
Middle SDI,Male,65-69 years,496,2002,78339.13532,12/31/2019
Middle SDI,Female,65-69 years,496,2002,60237.42135,12/31/2019
Middle SDI,Male,70-74 years,496,2002,88382.26477,12/31/2019
Middle SDI,Female,70-74 years,496,2002,71652.59075,12/31/2019
Middle SDI,Male,75-79 years,496,2002,82894.72655,12/31/2019
Middle SDI,Female,75-79 years,496,2002,78862.18546,12/31/2019
Middle SDI,Male,80+ years,496,2002,92666.80898,12/31/2019
Middle SDI,Female,80+ years,496,2002,130325.3761,12/31/2019
Middle SDI,Male,<5 years,497,2002,1254.210638,12/31/2019
Middle SDI,Female,<5 years,497,2002,915.99319,12/31/2019
Middle SDI,Male,5-9 years,497,2002,326.9519448,12/31/2019
Middle SDI,Female,5-9 years,497,2002,272.4874349,12/31/2019
Middle SDI,Male,10-14 years,497,2002,366.6521117,12/31/2019
Middle SDI,Female,10-14 years,497,2002,292.0342617,12/31/2019
Middle SDI,Male,15-19 years,497,2002,559.3227822,12/31/2019
Middle SDI,Female,15-19 years,497,2002,387.5585569,12/31/2019
Middle SDI,Male,20-24 years,497,2002,713.7010037,12/31/2019
Middle SDI,Female,20-24 years,497,2002,525.2425207,12/31/2019
Middle SDI,Male,25-29 years,497,2002,881.1478509,12/31/2019
Middle SDI,Female,25-29 years,497,2002,682.4149971,12/31/2019
Middle SDI,Male,30-34 years,497,2002,1316.626774,12/31/2019
Middle SDI,Female,30-34 years,497,2002,1158.981197,12/31/2019
Middle SDI,Male,35-39 years,497,2002,2171.513375,12/31/2019
Middle SDI,Female,35-39 years,497,2002,1941.644729,12/31/2019
Middle SDI,Male,40-44 years,497,2002,3067.041853,12/31/2019
Middle SDI,Female,40-44 years,497,2002,2696.970131,12/31/2019
Middle SDI,Male,45-49 years,497,2002,3807.448537,12/31/2019
Middle SDI,Female,45-49 years,497,2002,3344.445388,12/31/2019
Middle SDI,Male,50-54 years,497,2002,5199.554211,12/31/2019
